tijd,meetwaarde
0.041,0
0.089,0
0.153,0
0.216,0
0.279,0
0.311,0
0.343,0
0.375,0
0.406,0
0.437,0
0.485,0
0.516,0
0.548,0
0.579,0
0.627,0
0.675,0
0.723,0
0.771,0
0.803,0
0.835,0
0.867,0
0.914,0
0.961,0
1.009,0
1.041,0
1.088,0
1.12,0
1.152,0
1.184,0
1.216,0
1.264,0
1.311,0
1.359,0
1.391,0
1.439,0
1.471,0
1.519,0
1.551,0
1.582,0
1.63,0
1.678,0
1.723,0
1.77,0
1.834,0
1.898,0
1.946,0
2.01,0
2.073,0
2.137,0
2.201,0
2.263,0
2.311,0
2.375,0
2.438,0
2.486,0
2.534,0
2.598,0
2.662,0
2.709,0
2.755,0
2.803,0
2.85,0
2.897,0
2.929,0
2.977,0
3.025,0
3.057,0
3.089,0
3.12,0
3.152,0
3.199,0
3.231,0
3.279,0
3.327,0
3.359,0
3.391,0
3.438,0
3.47,0
3.502,0
3.55,0
3.597,0
3.645,0
3.676,0
3.724,0
3.771,0
3.803,0
3.835,0
3.883,0
3.915,0
3.961,0
3.993,0
4.04,0
4.088,0
4.12,0
4.168,0
4.2,0
4.248,0
4.28,0
4.341,0
4.405,0
4.469,0
4.517,0
4.565,0
4.613,0
4.676,0
4.74,0
4.787,0
4.834,0
4.898,0
4.962,0
5.025,0
5.071,0
5.119,0
5.166,0
5.229,0
5.261,0
5.293,0
5.341,0
5.373,0
5.421,0
5.467,0
5.498,0
5.53,0
5.578,0
5.609,0
5.656,0
5.704,0
5.736,0
5.768,0
5.813,0
5.86,0
5.892,0
5.94,0
5.988,0
6.02,0
6.083,0
6.131,0
6.194,0
6.242,0
6.29,0
6.354,0
6.402,0
6.45,0
6.497,0
6.56,0
6.608,0
6.655,0
6.719,0
6.767,0
6.815,0
6.878,0
6.924,0
6.971,0
7.019,0
7.083,0
7.147,0
7.211,0
7.275,0
7.338,0
7.402,0
7.465,0
7.529,0
7.576,0
7.608,0
7.656,0
7.702,0
7.75,0
7.797,0
7.829,0
7.877,0
7.924,0
7.971,0
8.003,0
8.035,0
8.066,0
8.098,0
8.13,0
8.177,0
8.209,0
8.241,0
8.288,0
8.336,0
8.384,0
8.431,0
8.479,0
8.51,0
8.573,0
8.637,0
8.701,0
8.765,0
8.827,0
8.875,0
8.939,0
8.987,0
9.051,0
9.099,0
9.147,0
9.209,0
9.273,0
9.337,0
9.385,0
9.433,0
9.496,0
9.558,0
9.605,0
9.653,0
9.701,0
9.748,0
9.796,0
9.843,0
9.875,0
9.907,0
9.938,0
9.97,0
10.002,0
10.05,0
10.081,0
10.128,0
10.175,0
10.207,0
10.255,0
10.302,0
10.334,0
10.366,0
10.397,0
10.429,0
10.477,0
10.524,0
10.572,0
10.604,0
10.651,0
10.698,0
10.73,0
10.762,0
10.81,0
10.842,0
10.89,0
10.938,0
10.97,0
11.002,0
11.049,0
11.095,0
11.159,0
11.223,0
11.287,0
11.351,0
11.413,0
11.476,0
11.523,0
11.587,0
11.651,0
11.715,0
11.779,0
11.842,0
11.906,0
11.97,0
12.018,0
12.066,0
12.13,0
12.177,0
12.241,0
12.304,0
12.352,0
12.4,0
12.464,0
12.528,0
12.589,0
12.621,0
12.653,0
12.7,0
12.748,0
12.78,0
12.828,0
12.875,0
12.922,0
12.954,0
13.002,0
13.05,0
13.082,0
13.13,0
13.162,0
13.209,0
13.257,0
13.288,0
13.32,0
13.368,0
13.416,0
13.464,0
13.495,0
13.527,0
13.575,0
13.623,0
13.67,0
13.718,0
13.766,0
13.798,0
13.846,0
13.893,0
13.941,0
13.989,0
14.037,0
14.052,0
14.084,0
14.116,0
14.148,0
14.18,0
14.212,0
14.26,0
14.291,0
14.322,0
14.354,0
14.386,0
14.433,0
14.481,0
14.529,0
14.577,0
14.624,0
14.688,0
14.736,0
14.768,0
14.815,0
14.863,0
14.911,0
14.974,0
15.022,0
15.084,0
15.148,0
15.195,0
15.243,0
15.29,0
15.354,0
15.418,0
15.466,0
15.514,0
15.561,0
15.608,0
15.672,0
15.72,0
15.768,0
15.816,0
15.88,0
15.942,0
15.974,0
16.006,0
16.054,0
16.086,0
16.118,0
16.166,0
16.214,0
16.246,0
16.277,0
16.324,0
16.371,0
16.403,0
16.435,0
16.467,0
16.515,0
16.563,0
16.61,0
16.642,0
16.673,0
16.705,0
16.753,0
16.801,0
16.848,0
16.88,0
16.912,0
16.959,0
16.991,0
17.038,0
17.086,0
17.118,0
17.134,0
17.181,0
17.213,0
17.245,0
17.276,0
17.324,0
17.372,0
17.403,0
17.451,0
17.483,0
17.531,0
17.579,0
17.626,0
17.674,0
17.722,0
17.769,0
17.817,0
17.865,0
17.913,0
17.961,0
18.025,0
18.088,0
18.151,0
18.198,0
18.262,0
18.325,0
18.389,0
18.436,0
18.5,0
18.547,0
18.611,0
18.659,0
18.722,0
18.785,0
18.817,0
18.865,0
18.912,0
18.943,0
18.991,0
19.038,0
19.086,0
19.134,0
19.166,0
19.197,0
19.245,0
19.292,0
19.34,0
19.388,0
19.435,0
19.466,0
