tijd,meetwaarde
0.047,0
0.079,0
0.127,0
0.159,0
0.206,0
0.254,0
0.286,0
0.334,0
0.382,0
0.413,0
0.476,0
0.54,0
0.587,0
0.635,0
0.698,0
0.761,0
0.825,0
0.889,0
0.952,0
1.016,0
1.08,0
1.127,0
1.158,0
1.205,0
1.253,0
1.301,0
1.332,0
1.38,0
1.412,0
1.443,0
1.474,0
1.522,0
1.57,0
1.618,0
1.65,0
1.682,0
1.729,0
1.761,0
1.809,0
1.857,0
1.873,0
1.921,0
1.969,0
2.016,0
2.063,0
2.109,0
2.141,0
2.189,0
2.237,0
2.285,0
2.316,0
2.363,0
2.427,0
2.49,0
2.538,0
2.586,0
2.65,0
2.714,0
2.777,0
2.839,0
2.901,0
2.965,0
3.028,0
3.076,0
3.123,0
3.155,0
3.219,0
3.266,0
3.312,0
3.359,0
3.391,0
3.439,0
3.487,0
3.535,0
3.582,0
3.613,0
3.661,0
3.692,0
3.74,0
3.788,0
3.835,0
3.883,0
3.931,0
3.978,0
4.041,0
4.105,0
4.169,0
4.217,0
4.281,0
4.329,0
4.377,0
4.439,0
4.503,0
4.551,0
4.614,0
4.661,0
4.709,0
4.757,0
4.803,0
4.867,0
4.931,0
4.995,0
5.058,0
5.121,0
5.167,0
5.215,0
5.263,0
5.294,0
5.326,0
5.374,0
5.422,0
5.454,0
5.502,0
5.534,0
5.579,0
5.61,0
5.642,0
5.689,0
5.721,0
5.769,0
5.817,0
5.849,0
5.865,0
5.897,0
5.929,0
5.96,0
6.008,0
6.055,0
6.102,0
6.15,0
6.212,0
6.276,0
6.323,0
6.371,0
6.419,0
6.483,0
6.547,0
6.611,0
6.675,0
6.723,0
6.786,0
6.834,0
6.898,0
6.961,0
6.993,0
7.041,0
7.089,0
7.136,0
7.184,0
7.232,0
7.264,0
7.312,0
7.344,0
7.392,0
7.44,0
7.487,0
7.519,0
7.551,0
7.583,0
7.63,0
7.678,0
7.71,0
7.758,0
7.806,0
7.822,0
7.853,0
7.901,0
7.933,0
7.981,0
8.013,0
8.045,0
8.093,0
8.141,0
8.189,0
8.221,0
8.252,0
8.284,0
8.332,0
8.364,0
8.412,0
8.46,0
8.508,0
8.556,0
8.587,0
8.635,0
8.651,0
8.683,0
8.731,0
8.779,0
8.826,0
8.874,0
8.922,0
8.969,0
9.001,0
9.049,0
9.081,0
9.113,0
9.161,0
9.177,0
9.225,0
9.257,0
9.305,0
9.336,0
9.383,0
9.415,0
9.447,0
9.479,0
9.527,0
9.575,0
9.623,0
9.655,0
9.703,0
9.75,0
9.782,0
9.83,0
9.862,0
9.91,0
9.958,0
9.99,0
10.022,0
10.07,0
10.101,0
10.149,0
10.197,0
10.229,0
10.277,0
10.341,0
10.405,0
10.468,0
10.532,0
10.564,0
10.628,0
10.692,0
10.74,0
10.788,0
10.82,0
10.866,0
10.913,0
10.977,0
11.009,0
11.057,0
11.105,0
11.168,0
11.231,0
11.294,0
11.342,0
11.405,0
11.453,0
11.485,0
11.517,0
11.549,0
11.596,0
11.628,0
11.66,0
11.692,0
11.724,0
11.756,0
11.788,0
11.836,0
11.884,0
11.932,0
11.948,0
11.995,0
12.043,0
12.091,0
12.139,0
12.187,0
12.219,0
12.251,0
12.299,0
12.346,0
12.362,0
12.41,0
12.426,0
12.473,0
12.505,0
12.553,0
12.601,0
12.633,0
12.681,0
12.728,0
12.76,0
12.791,0
12.839,0
12.885,0
12.933,0
12.965,0
12.98,0
13.028,0
13.06,0
13.107,0
13.139,0
13.186,0
13.234,0
13.297,0
13.36,0
13.423,0
13.486,0
13.548,0
13.595,0
13.643,0
13.675,0
13.723,0
13.771,0
13.803,0
13.85,0
13.898,0
13.945,0
13.993,0
14.041,0
14.073,0
14.121,0
14.153,0
14.185,0
14.232,0
14.264,0
14.296,0
14.328,0
14.359,0
14.39,0
14.436,0
14.484,0
14.531,0
14.563,0
14.595,0
14.643,0
14.675,0
14.722,0
14.753,0
14.816,0
14.88,356
14.944,11080
15.008,17387
15.071,19591
15.134,19834
15.198,19087
15.262,17928
15.325,16719
15.389,15397
15.452,9518
15.515,5314
15.563,2918
15.627,1878
15.674,1039
15.737,654
15.785,345
15.817,204
15.864,125
15.895,38
15.927,0
15.959,0
16.006,0
16.037,0
16.069,0
16.117,0
16.165,0
16.213,0
16.261,0
16.309,0
16.356,0
16.403,0
16.434,0
16.481,0
16.513,0
16.561,0
16.608,0
16.656,0
16.719,0
16.766,0
16.813,0
16.861,0
16.925,0
16.973,0
17.037,0
17.085,0
17.149,0
17.211,0
17.259,0
17.323,0
17.371,0
17.434,0
17.498,0
17.562,0
17.609,0
17.657,0
17.704,0
17.752,0
17.784,0
17.831,0
17.878,0
17.909,0
17.94,0
17.988,0
18.02,0
18.068,0
18.1,0
18.148,0
18.195,0
18.227,0
18.258,0
18.305,0
18.353,0
18.401,0
18.449,0
18.497,0
18.545,0
18.593,0
18.625,0
18.673,0
18.705,0
18.752,0
18.783,0
18.815,0
18.847,0
18.895,0
18.943,0
18.991,0
19.023,0
19.071,0
19.102,0
19.134,0
19.166,0
19.214,0
19.262,0
19.309,0
19.373,0
19.435,0
19.498,0
19.544,0
19.608,0
19.656,0
19.72,0
19.767,0
19.831,0
19.895,0
19.926,0
19.974,0
20.022,0
20.038,0
20.086,0
20.134,0
20.182,0
20.214,0
20.262,0
20.293,0
20.325,0
20.373,0
20.405,0
20.453,0
20.468,0
20.516,0
20.548,0
20.596,0
20.644,0
20.691,0
20.723,0
20.739,0
20.787,0
20.835,0
20.867,0
20.899,0
20.947,0
20.994,0
21.026,0
21.073,0
21.121,0
21.169,0
21.201,0
21.248,0
21.296,0
21.328,0
21.36,0
21.392,0
21.423,0
21.455,0
21.487,0
21.519,0
21.55,0
21.566,0
21.582,0
21.598,0
21.63,0
21.662,0
21.694,0
21.726,0
21.758,0
21.79,0
21.821,0
21.853,0
21.885,0
21.933,0
21.981,0
22.029,0
22.045,0
22.093,0
22.125,0
22.157,0
22.203,0
22.251,0
22.299,0
22.363,0
22.411,0
22.459,0
22.507,0
22.57,0
22.618,0
22.681,0
22.745,0
22.809,0
22.873,0
22.921,0
22.984,0
23.048,0
23.08,0
23.128,0
23.176,0
23.24,0
23.272,0
23.335,0
23.383,0
23.447,0
23.479,0
23.543,0
23.591,0
23.654,0
23.717,0
23.781,0
23.845,0
23.909,0
23.957,0
24.005,0
24.053,0
24.1,0
24.148,0
24.196,0
24.228,0
24.292,0
24.34,0
24.388,0
24.435,0
24.499,0
24.547,0
24.579,0
24.627,0
24.675,0
24.691,0
24.755,0
24.802,0
24.85,0
24.898,0
24.945,0
24.993,0
25.025,0
25.073,0
25.105,0
25.153,0
25.2,0
25.232,0
25.264,0
25.296,0
25.344,0
25.376,0
25.408,0
25.456,0
25.504,0
25.552,0
25.599,0
25.647,0
25.695,0
25.743,0
25.791,0
25.839,0
25.887,0
25.919,0
25.95,0
25.998,0
26.03,0
26.062,0
26.078,0
26.11,0
26.158,0
26.206,0
26.238,0
26.27,0
26.301,0
26.349,0
26.397,0
26.429,0
26.461,0
26.493,0
26.525,0
26.573,0
26.621,0
26.653,0
26.684,0
26.732,0
26.78,0
26.828,0
26.86,0
26.892,0
26.924,0
26.972,0
27.003,0
27.035,0
27.066,0
27.098,0
27.146,0
27.178,0
27.226,0
27.242,0
27.274,0
27.322,0
27.353,0
27.401,0
27.432,0
27.48,0
27.512,0
27.56,0
27.608,0
27.64,0
27.703,0
27.767,0
27.798,0
27.861,0
27.909,0
27.957,0
27.989,0
28.053,0
28.101,0
28.149,0
28.211,0
28.243,0
28.307,0
28.355,0
28.403,0
28.451,0
28.499,0
28.562,0
28.61,0
28.658,0
28.704,0
28.752,0
28.8,0
28.847,0
28.895,0
28.942,0
28.973,0
29.005,0
29.037,0
29.069,0
29.117,0
29.149,0
29.18,0
29.212,0
29.244,0
29.276,0
29.308,0
29.355,0
29.403,0
29.435,0
29.45,0
29.497,0
29.545,0
29.593,0
29.625,0
29.657,0
29.689,0
29.736,0
29.768,0
29.816,0
29.864,0
29.896,0
29.928,0
29.96,0
30.008,0
30.056,0
30.103,0
30.135,0
30.182,0
30.23,0
30.278,0
30.31,0
30.358,0
30.39,0
30.437,0
30.5,0
30.564,0
30.626,0
30.69,0
30.754,0
30.817,0
30.881,0
30.929,0
30.977,0
31.04,0
31.088,0
31.152,0
31.216,0
31.279,0
31.327,0
31.389,0
31.436,0
31.468,0
31.5,0
31.548,0
31.596,0
31.628,0
31.66,0
31.708,0
31.754,0
31.802,0
31.834,0
31.85,0
31.898,0
31.93,0
31.962,0
32.01,0
32.058,0
32.106,0
32.153,0
32.201,0
32.233,0
32.265,0
32.313,0
32.36,0
32.408,0
32.456,0
32.502,0
32.549,0
32.597,0
32.645,0
32.676,0
32.724,0
32.756,0
32.788,0
32.836,0
32.867,0
32.899,0
32.947,0
32.979,0
33.011,0
33.043,0
33.091,0
33.139,0
33.187,0
33.234,0
33.281,0
33.329,0
33.393,0
33.457,0
33.519,0
33.567,0
33.615,0
33.679,0
33.743,0
33.806,0
33.869,0
33.933,0
33.997,0
34.061,0
34.124,0
34.188,0
34.251,0
34.299,0
34.363,0
34.411,0
34.458,0
34.506,0
34.522,0
34.538,0
34.57,0
34.601,0
34.648,0
34.696,0
34.743,0
34.79,0
34.837,0
34.885,0
34.917,0
34.965,0
35.012,0
35.044,0
35.091,0
35.139,0
35.171,0
35.203,0
35.251,0
